                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.62401,                0.58957,                 1.0989,                0.92941,                0.91218,                0.96657,                0.80342,                0.65974,                0.49216,                 1.2014,              0.0013831,              0.0013831,              0.0013831
                     89,                0.59241,                0.54892,                  1.081,                0.89994,                0.94733,                0.97876,                0.80079,                0.68232,                0.48833,                 1.2393,              0.0013798,              0.0013798,              0.0013798
                     90,                0.59911,                0.55606,                 1.0753,                0.94817,                0.94937,                 0.9816,                0.82011,                0.65617,                0.48438,                 1.2033,              0.0013765,              0.0013765,              0.0013765
                     91,                0.62098,                0.56326,                 1.0942,                0.94561,                0.92563,                0.96357,                0.80728,                0.67659,                 0.4984,                 1.2104,              0.0013732,              0.0013732,              0.0013732
                     92,                0.59493,                0.53634,                 1.0891,                0.93805,                0.90814,                0.96665,                0.78885,                0.71875,                0.49435,                 1.2652,              0.0013699,              0.0013699,              0.0013699
                     93,                0.61263,                0.54884,                 1.0935,                0.91868,                0.94913,                0.97951,                0.81303,                0.65514,                0.48632,                 1.1917,              0.0013666,              0.0013666,              0.0013666
                     94,                0.61358,                 0.5535,                 1.0969,                0.94052,                0.95236,                 0.9821,                0.80486,                0.67693,                0.46178,                 1.2218,              0.0013633,              0.0013633,              0.0013633
                     95,                0.58665,                0.56012,                 1.0879,                0.92115,                 0.9125,                0.94988,                0.78907,                0.65282,                0.50886,                  1.197,                0.00136,                0.00136,                0.00136
                     96,                0.59349,                0.52741,                 1.0754,                0.97118,                0.92626,                 0.9738,                0.80061,                0.68249,                0.48158,                 1.2128,              0.0013567,              0.0013567,              0.0013567
                     97,                0.61053,                0.53788,                 1.0884,                0.96296,                 0.9386,                0.97991,                0.80274,                0.71167,                0.45464,                 1.2552,              0.0013534,              0.0013534,              0.0013534
                     98,                0.58159,                0.54548,                 1.0735,                0.96116,                0.92296,                0.97366,                0.81306,                 0.6788,                0.47443,                 1.2261,              0.0013501,              0.0013501,              0.0013501
                     99,                0.59126,                0.53821,                  1.076,                 0.9397,                0.95946,                0.97179,                0.80716,                0.68925,                0.45137,                 1.2325,              0.0013468,              0.0013468,              0.0013468
                    100,                0.60659,                0.54482,                 1.0962,                0.92071,                0.96072,                 0.9749,                0.79424,                0.69041,                0.46076,                 1.2344,              0.0013435,              0.0013435,              0.0013435
                    101,                0.61314,                0.54028,                 1.0923,                0.94155,                0.93644,                0.97127,                0.81279,                0.65975,                0.44405,                 1.2021,              0.0013402,              0.0013402,              0.0013402
                    102,                0.58445,                0.53322,                 1.0832,                0.94389,                0.91492,                 0.9658,                0.80781,                0.66109,                0.48423,                 1.2268,              0.0013369,              0.0013369,              0.0013369
                    103,                0.61385,                0.54886,                 1.0891,                0.95197,                0.92397,                0.96375,                 0.7988,                0.67624,                0.46701,                 1.2373,              0.0013336,              0.0013336,              0.0013336
                    104,                0.61121,                0.54176,                 1.1015,                0.94986,                 0.8984,                0.96765,                0.80392,                0.66077,                0.45473,                 1.1944,              0.0013303,              0.0013303,              0.0013303
                    105,                0.57837,                0.53821,                 1.0841,                0.93453,                0.94504,                0.97544,                0.82374,                0.60008,                 0.4381,                 1.1314,               0.001327,               0.001327,               0.001327
                    106,                0.58635,                0.53537,                 1.0794,                0.93725,                0.94478,                0.97187,                0.81353,                0.64089,                0.47188,                 1.1664,              0.0013237,              0.0013237,              0.0013237
                    107,                0.58902,                  0.546,                 1.0801,                0.94124,                0.89468,                0.95545,                0.76962,                0.72333,                0.52224,                 1.2798,              0.0013204,              0.0013204,              0.0013204
                    108,                0.57885,                0.51968,                 1.0683,                0.95016,                0.93577,                0.97387,                0.80572,                0.66676,                0.45782,                 1.2315,              0.0013171,              0.0013171,              0.0013171
                    109,                0.59284,                0.52007,                 1.0724,                0.93487,                0.92643,                0.96831,                0.80945,                0.64342,                0.43349,                 1.2031,              0.0013138,              0.0013138,              0.0013138
                    110,                0.59313,                0.53224,                 1.0837,                0.96165,                0.92845,                0.97807,                0.82936,                0.60011,                0.43647,                 1.1455,              0.0013105,              0.0013105,              0.0013105
                    111,                0.54582,                0.51361,                 1.0482,                0.93149,                0.94354,                0.97829,                0.81787,                0.63094,                0.45968,                 1.1857,              0.0013072,              0.0013072,              0.0013072
                    112,                0.54606,                0.51411,                 1.0464,                0.90948,                0.91709,                 0.9687,                0.82553,                0.60782,                0.48521,                 1.1424,              0.0013039,              0.0013039,              0.0013039
                    113,                0.57419,                 0.5382,                 1.0768,                0.94131,                0.94018,                 0.9768,                0.81707,                0.63853,                0.43623,                 1.1831,              0.0013006,              0.0013006,              0.0013006
                    114,                0.54131,                0.48236,                 1.0563,                0.93911,                0.92709,                0.97253,                0.79769,                0.68759,                0.46464,                 1.2216,              0.0012973,              0.0012973,              0.0012973
                    115,                0.55207,                0.48131,                  1.057,                0.94584,                0.92358,                0.97379,                0.81889,                0.63541,                0.44366,                 1.1768,               0.001294,               0.001294,               0.001294
                    116,                0.57746,                0.50768,                  1.069,                0.95302,                 0.9125,                0.97337,                0.80604,                0.66498,                0.46306,                 1.2084,              0.0012907,              0.0012907,              0.0012907
                    117,                0.56467,                0.48843,                 1.0469,                0.94308,                 0.9264,                0.97881,                0.82467,                0.64643,                0.45628,                 1.1776,              0.0012874,              0.0012874,              0.0012874
                    118,                0.53526,                 0.4845,                  1.051,                0.93158,                0.94809,                0.97906,                 0.8262,                0.63599,                0.41959,                 1.1819,              0.0012841,              0.0012841,              0.0012841
                    119,                0.55382,                0.49599,                 1.0546,                 0.9571,                0.94937,                0.98336,                0.82633,                0.62832,                0.42941,                 1.1697,              0.0012808,              0.0012808,              0.0012808
                    120,                 0.5507,                0.47334,                 1.0506,                0.96594,                0.92159,                0.97819,                0.81467,                0.62888,                0.41998,                 1.1839,              0.0012775,              0.0012775,              0.0012775
                    121,                0.54161,                0.46394,                 1.0489,                0.92756,                0.94778,                0.97456,                0.82625,                0.62861,                0.43093,                 1.1769,              0.0012742,              0.0012742,              0.0012742
                    122,                0.54153,                0.47605,                 1.0501,                0.90012,                0.92807,                0.96961,                0.82768,                0.59347,                0.46061,                 1.1407,              0.0012709,              0.0012709,              0.0012709
                    123,                0.53466,                0.47423,                 1.0429,                0.95122,                0.89415,                0.97334,                0.82708,                0.60874,                0.45573,                 1.1553,              0.0012676,              0.0012676,              0.0012676
                    124,                0.54542,                0.46898,                 1.0436,                0.93214,                0.94752,                 0.9763,                0.82613,                0.61046,                0.45868,                 1.1544,              0.0012643,              0.0012643,              0.0012643
                    125,                0.53481,                0.48503,                  1.044,                0.92636,                0.93312,                0.97399,                0.80867,                0.66482,                0.46682,                  1.224,               0.001261,               0.001261,               0.001261
                    126,                0.53774,                0.47614,                 1.0396,                0.97631,                  0.917,                0.98181,                 0.8336,                0.62353,                0.42993,                 1.1866,              0.0012577,              0.0012577,              0.0012577
                    127,                0.57649,                0.50245,                 1.0852,                0.96323,                0.94181,                0.97654,                0.84065,                0.62513,                0.42047,                 1.1666,              0.0012544,              0.0012544,              0.0012544
                    128,                0.56412,                0.50509,                 1.0461,                0.97437,                0.92521,                0.97338,                0.82845,                0.62022,                0.44602,                 1.1652,              0.0012511,              0.0012511,              0.0012511
                    129,                0.55016,                 0.4897,                 1.0624,                0.94225,                0.94207,                0.97396,                0.82261,                0.63067,                0.43719,                 1.1844,              0.0012478,              0.0012478,              0.0012478
                    130,                0.54248,                0.47795,                 1.0493,                0.93777,                0.91246,                0.97656,                0.82326,                0.63323,                0.43386,                 1.1863,              0.0012445,              0.0012445,              0.0012445
                    131,                0.52308,                0.45317,                 1.0336,                0.94488,                0.95306,                 0.9822,                0.83033,                0.61995,                0.43355,                 1.1695,              0.0012412,              0.0012412,              0.0012412
                    132,                0.51519,                 0.4463,                 1.0303,                0.92149,                0.93624,                0.96951,                0.82726,                 0.6225,                 0.4458,                 1.1618,              0.0012379,              0.0012379,              0.0012379
                    133,                 0.5343,                 0.4456,                 1.0477,                0.93535,                  0.945,                0.98049,                0.81951,                0.63802,                 0.4416,                 1.2016,              0.0012346,              0.0012346,              0.0012346
                    134,                0.53773,                 0.4717,                 1.0514,                0.95047,                0.94157,                0.97519,                0.82906,                0.62538,                0.43973,                 1.1819,              0.0012313,              0.0012313,              0.0012313
                    135,                0.52208,                0.47215,                 1.0426,                0.95902,                0.92266,                0.97113,                0.83512,                0.59811,                0.42696,                 1.1548,               0.001228,               0.001228,               0.001228
                    136,                0.50435,                0.43473,                 1.0276,                0.97117,                0.94937,                0.98665,                  0.843,                0.61253,                 0.4112,                 1.1577,              0.0012247,              0.0012247,              0.0012247
                    137,                0.52658,                0.45038,                 1.0317,                0.97553,                0.93249,                0.98498,                0.83243,                 0.6188,                0.40215,                 1.1896,              0.0012214,              0.0012214,              0.0012214
                    138,                0.52322,                0.46114,                 1.0497,                0.94096,                0.93864,                0.96907,                0.81922,                 0.6328,                0.45919,                 1.1815,              0.0012181,              0.0012181,              0.0012181
                    139,                0.49957,                0.46158,                 1.0287,                0.93486,                0.95084,                0.97879,                0.82541,                0.62091,                0.41963,                 1.1719,              0.0012148,              0.0012148,              0.0012148
