                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.63235,                0.63976,                 1.1128,                0.94914,                 0.9215,                0.97741,                0.79481,                0.70324,                0.54769,                 1.2505,             0.00087484,             0.00087484,             0.00087484
                     51,                0.62777,                0.60914,                 1.1105,                0.95579,                  0.917,                0.97579,                0.79829,                0.66969,                0.54493,                 1.2067,             0.00085834,             0.00085834,             0.00085834
                     52,                0.62606,                0.56995,                 1.1052,                0.93355,                0.95383,                0.97819,                0.79602,                 0.6676,                0.52854,                 1.1803,             0.00084184,             0.00084184,             0.00084184
                     53,                0.61969,                 0.5949,                 1.0946,                 0.9265,                0.92803,                0.96496,                0.80426,                0.66896,                0.54015,                 1.1959,             0.00082533,             0.00082533,             0.00082533
                     54,                  0.638,                 0.6138,                 1.1287,                0.95493,                  0.917,                0.96346,                0.78921,                0.69467,                0.53664,                   1.22,             0.00080883,             0.00080883,             0.00080883
                     55,                0.60983,                0.59651,                 1.0945,                0.92675,                0.93308,                0.95993,                0.80577,                0.64953,                0.51672,                 1.1753,             0.00079233,             0.00079233,             0.00079233
                     56,                0.62794,                0.59202,                 1.0991,                0.94728,                0.88481,                0.97038,                0.80664,                0.66175,                0.53057,                 1.2052,             0.00077582,             0.00077582,             0.00077582
                     57,                0.60508,                 0.5687,                 1.0855,                0.89768,                0.93605,                0.96133,                 0.8016,                0.67145,                0.52055,                 1.2226,             0.00075932,             0.00075932,             0.00075932
                     58,                0.61258,                0.58608,                 1.0942,                0.97034,                 0.9106,                0.98136,                0.81553,                0.65129,                0.48408,                 1.1848,             0.00074282,             0.00074282,             0.00074282
                     59,                0.60767,                0.55356,                 1.1032,                0.94651,                0.94335,                0.98134,                 0.8084,                0.64982,                0.48147,                 1.1814,             0.00072631,             0.00072631,             0.00072631
                     60,                0.60393,                0.56659,                 1.0919,                0.96594,                0.93085,                0.98119,                0.82417,                0.64614,                0.49744,                 1.1653,             0.00070981,             0.00070981,             0.00070981
                     61,                0.60006,                0.55601,                 1.0966,                0.94017,                0.92347,                0.96462,                0.81192,                0.64418,                0.49489,                 1.1646,             0.00069331,             0.00069331,             0.00069331
                     62,                0.58206,                0.56593,                 1.0747,                0.94976,                0.91709,                0.96744,                0.79124,                0.67146,                0.52614,                  1.202,              0.0006768,              0.0006768,              0.0006768
                     63,                0.59824,                0.55746,                 1.0999,                0.96851,                0.93027,                 0.9812,                0.82672,                0.61104,                0.46526,                 1.1454,              0.0006603,              0.0006603,              0.0006603
                     64,                0.57974,                0.55114,                 1.0858,                0.96541,                0.95379,                0.98637,                0.83085,                0.61562,                0.46133,                 1.1498,              0.0006438,              0.0006438,              0.0006438
                     65,                0.54523,                0.51314,                 1.0539,                0.94495,                0.95404,                0.98552,                0.83155,                0.62134,                0.44916,                 1.1545,             0.00062729,             0.00062729,             0.00062729
                     66,                0.54337,                0.49118,                 1.0584,                0.94468,                 0.9543,                0.97239,                0.82521,                0.61707,                0.49317,                 1.1551,             0.00061079,             0.00061079,             0.00061079
                     67,                0.57106,                  0.513,                 1.0739,                0.94562,                0.95176,                0.98019,                 0.8223,                0.64056,                0.46127,                 1.1916,             0.00059429,             0.00059429,             0.00059429
                     68,                0.55022,                0.49584,                 1.0483,                0.94167,                 0.9492,                0.98141,                0.79742,                 0.6773,                 0.4862,                 1.2172,             0.00057778,             0.00057778,             0.00057778
                     69,                0.54352,                0.50125,                 1.0565,                0.97578,                0.92676,                0.98347,                0.82262,                0.61694,                0.44511,                 1.1603,             0.00056128,             0.00056128,             0.00056128
                     70,                0.55347,                0.51267,                 1.0495,                0.96979,                0.93535,                0.97487,                0.80572,                0.65462,                0.47012,                 1.2095,             0.00054478,             0.00054478,             0.00054478
                     71,                0.52961,                0.50392,                 1.0546,                0.93372,                0.94501,                 0.9763,                 0.8247,                0.61598,                0.46381,                   1.16,             0.00052827,             0.00052827,             0.00052827
                     72,                0.53423,                0.48854,                 1.0489,                0.96135,                 0.9227,                0.96959,                0.82649,                0.59398,                 0.4884,                 1.1423,             0.00051177,             0.00051177,             0.00051177
                     73,                 0.5322,                0.48963,                 1.0393,                0.95294,                0.94603,                0.97678,                0.83486,                0.56281,                 0.4607,                 1.1074,             0.00049527,             0.00049527,             0.00049527
                     74,                0.54141,                0.49784,                 1.0482,                0.97134,                0.95854,                0.98615,                0.83781,                0.59511,                0.42378,                 1.1239,             0.00047876,             0.00047876,             0.00047876
                     75,                 0.5215,                0.46139,                 1.0347,                 0.9845,                0.96322,                0.98104,                0.83924,                0.58295,                0.39945,                 1.1192,             0.00046226,             0.00046226,             0.00046226
                     76,                0.50401,                0.46949,                 1.0378,                0.96652,                0.93017,                0.97657,                0.83806,                0.58749,                0.42339,                 1.1236,             0.00044576,             0.00044576,             0.00044576
                     77,                0.50939,                 0.4557,                 1.0263,                0.94134,                0.97194,                0.98683,                0.83494,                0.56835,                0.40615,                 1.1136,             0.00042925,             0.00042925,             0.00042925
                     78,                0.52244,                0.48112,                 1.0353,                0.98058,                0.95316,                0.98537,                0.82732,                0.59591,                0.42377,                 1.1459,             0.00041275,             0.00041275,             0.00041275
                     79,                0.50505,                 0.4809,                 1.0374,                0.98294,                0.92491,                 0.9843,                0.84731,                0.56618,                0.43101,                 1.1124,             0.00039625,             0.00039625,             0.00039625
                     80,                0.49707,                0.45585,                  1.023,                0.96616,                0.92626,                0.98116,                0.83029,                0.59252,                0.44556,                  1.131,             0.00037974,             0.00037974,             0.00037974
                     81,                0.51341,                 0.4513,                  1.039,                0.95831,                0.94937,                0.98307,                0.83909,                0.58758,                0.44686,                 1.1411,             0.00036324,             0.00036324,             0.00036324
                     82,                0.52175,                0.44827,                 1.0549,                0.96834,                0.95445,                0.98848,                0.84862,                0.57644,                0.40751,                 1.1218,             0.00034674,             0.00034674,             0.00034674
                     83,                0.50855,                0.45417,                 1.0235,                0.95553,                 0.9492,                  0.985,                0.84535,                 0.5629,                0.43777,                 1.1249,             0.00033023,             0.00033023,             0.00033023
                     84,                0.49017,                0.44078,                 1.0131,                0.96739,                0.94725,                0.98792,                 0.8473,                0.60245,                0.43854,                 1.1524,             0.00031373,             0.00031373,             0.00031373
                     85,                0.47912,                0.41818,                  1.013,                0.94401,                0.95882,                0.98806,                0.83719,                0.60593,                0.43493,                 1.1556,             0.00029723,             0.00029723,             0.00029723
                     86,                0.47354,                0.41617,                 1.0138,                0.97366,                0.93138,                0.98847,                0.84289,                0.60396,                0.41132,                 1.1492,             0.00028072,             0.00028072,             0.00028072
                     87,                 0.4723,                0.43043,                0.99709,                0.95262,                0.96891,                0.98993,                0.85194,                0.57423,                0.40032,                 1.1264,             0.00026422,             0.00026422,             0.00026422
                     88,                0.47135,                0.40758,                 1.0191,                0.96735,                0.96243,                0.98996,                0.85417,                 0.5616,                0.38028,                 1.1296,             0.00024772,             0.00024772,             0.00024772
                     89,                0.47291,                0.41369,                 1.0055,                 0.9685,                0.94245,                0.98814,                0.85404,                0.56259,                0.40164,                 1.1166,             0.00023121,             0.00023121,             0.00023121
                     90,                0.48765,                 0.4262,                 1.0089,                0.96545,                0.95404,                0.98715,                0.86236,                0.55853,                0.39733,                 1.1148,             0.00021471,             0.00021471,             0.00021471
                     91,                0.37907,                0.32821,                 1.0072,                0.98265,                0.94711,                 0.9785,                0.84485,                0.54832,                0.41551,                  1.108,             0.00019821,             0.00019821,             0.00019821
                     92,                0.36583,                 0.3067,                0.97252,                0.97496,                 0.9447,                0.98111,                0.84467,                0.55367,                0.42936,                 1.1123,              0.0001817,              0.0001817,              0.0001817
                     93,                0.37745,                0.31259,                0.98288,                0.98066,                0.93975,                 0.9824,                0.85381,                0.55398,                  0.426,                 1.1142,              0.0001652,              0.0001652,              0.0001652
                     94,                0.36152,                0.28814,                0.98431,                0.98594,                0.92891,                0.98392,                0.85097,                0.55036,                  0.418,                 1.1141,              0.0001487,              0.0001487,              0.0001487
                     95,                0.35949,                0.28778,                0.97683,                0.98763,                0.93839,                 0.9838,                0.85562,                0.55264,                 0.4128,                 1.1225,             0.00013219,             0.00013219,             0.00013219
                     96,                0.33994,                0.28012,                0.96335,                0.97852,                 0.9219,                0.98216,                0.85461,                0.54862,                0.40614,                 1.1162,             0.00011569,             0.00011569,             0.00011569
                     97,                0.33195,                0.26335,                0.94086,                0.96593,                0.93204,                0.97938,                0.86199,                0.53972,                0.40258,                 1.1136,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.33321,                0.27366,                0.95315,                0.96204,                 0.9335,                0.97946,                0.86179,                0.53436,                0.40565,                  1.114,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.31005,                 0.2596,                0.93461,                0.94819,                0.96049,                0.98513,                 0.8595,                0.53425,                0.39671,                 1.1094,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.33072,                0.27687,                0.94366,                0.95301,                0.96645,                0.98644,                0.85522,                0.54021,                0.39704,                 1.1132,             4.9677e-05,             4.9677e-05,             4.9677e-05
